Frage,Antwort,Kategorie
Wie hoch war das Handelsvolumen?,45738300.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,250.97332763671875,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,253.39999389648438,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,246.4199981689453,Tiefstkurs
Wie hoch war das Handelsvolumen?,60119400.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,251.2899932861328,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,254.81666564941406,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,246.92333984375,Tiefstkurs
Wie hoch war das Handelsvolumen?,56379000.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,251.6199951171875,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,254.03334045410156,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,250.5433349609375,Tiefstkurs
Wie hoch war das Handelsvolumen?,42233100.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,245.42333984375,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,254.20333862304688,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,244.83999633789062,Tiefstkurs
Wie hoch war das Handelsvolumen?,45552600.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,247.6666717529297,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,248.25999450683594,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,236.28334045410156,Tiefstkurs
Wie hoch war das Handelsvolumen?,68857500.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,248.163330078125,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,251.49000549316406,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,245.46665954589844,Tiefstkurs
Wie hoch war das Handelsvolumen?,55574700.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,251.94332885742188,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,252.2866668701172,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,246.1199951171875,Tiefstkurs
Wie hoch war das Handelsvolumen?,46073100.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,252.3300018310547,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,252.97000122070312,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,249.20333862304688,Tiefstkurs
Wie hoch war das Handelsvolumen?,41770200.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,253.163330078125,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,253.67999267578125,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,250.0,Tiefstkurs
Wie hoch war das Handelsvolumen?,84612600.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,243.38999938964844,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,247.3333282470703,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,239.5399932861328,Tiefstkurs
Wie hoch war das Handelsvolumen?,74273100.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,246.4600067138672,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,248.24667358398438,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,243.47999572753906,Tiefstkurs
Wie hoch war das Handelsvolumen?,48992100.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,250.64666748046875,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,251.22332763671875,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,246.3733367919922,Tiefstkurs
Wie hoch war das Handelsvolumen?,45378900.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,251.2133331298828,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,252.73333740234375,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,249.30667114257812,Tiefstkurs
Wie hoch war das Handelsvolumen?,35842500.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,258.1300048828125,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,258.26666259765625,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,248.18666076660156,Tiefstkurs
Wie hoch war das Handelsvolumen?,64119000.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,263.78668212890625,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,266.3333435058594,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,256.4366760253906,Tiefstkurs
Wie hoch war das Handelsvolumen?,84212100.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,259.1866760253906,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,265.21331787109375,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,255.39332580566406,Tiefstkurs
Wie hoch war das Handelsvolumen?,76144200.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,260.4366760253906,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,264.5,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,256.8933410644531,Tiefstkurs
Wie hoch war das Handelsvolumen?,62828700.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,258.49334716796875,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,263.0433349609375,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,258.3333435058594,Tiefstkurs
Wie hoch war das Handelsvolumen?,53868000.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,258.40667724609375,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,260.260009765625,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,254.52999877929688,Tiefstkurs
Wie hoch war das Handelsvolumen?,51094200.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,260.510009765625,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,268.989990234375,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,258.7066650390625,Tiefstkurs
Wie hoch war das Handelsvolumen?,91449900.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,260.1966552734375,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,265.7699890136719,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,258.0666809082031,Tiefstkurs
Wie hoch war das Handelsvolumen?,55297800.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,260.9166564941406,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,262.2200012207031,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,257.739990234375,Tiefstkurs
Wie hoch war das Handelsvolumen?,43898400.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,264.53668212890625,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,268.3333435058594,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,261.1266784667969,Tiefstkurs
Wie hoch war das Handelsvolumen?,57587400.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,261.8299865722656,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,265.4599914550781,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,260.3033447265625,Tiefstkurs
Wie hoch war das Handelsvolumen?,50215800.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,263.9800109863281,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,267.0799865722656,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,261.8333435058594,Tiefstkurs
Wie hoch war das Handelsvolumen?,42600900.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,268.5733337402344,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,270.7733459472656,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,265.5233459472656,Tiefstkurs
Wie hoch war das Handelsvolumen?,66060000.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,270.3599853515625,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,271.8033447265625,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,268.59332275390625,Tiefstkurs
Wie hoch war das Handelsvolumen?,42360300.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,272.7733459472656,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,273.4166564941406,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,271.1166687011719,Tiefstkurs
Wie hoch war das Handelsvolumen?,36741600.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,281.010009765625,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,281.07000732421875,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,274.1166687011719,Tiefstkurs
Wie hoch war das Handelsvolumen?,56773800.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,290.03668212890625,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,291.7533264160156,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,283.8233337402344,Tiefstkurs
Wie hoch war das Handelsvolumen?,72621600.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,288.0899963378906,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,292.6499938964844,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,287.5033264160156,Tiefstkurs
Wie hoch war das Handelsvolumen?,52143300.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,288.6000061035156,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,289.8299865722656,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,285.7933349609375,Tiefstkurs
Wie hoch war das Handelsvolumen?,42096300.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,298.0,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,300.0,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,285.1666564941406,Tiefstkurs
Wie hoch war das Handelsvolumen?,94444500.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,303.2266540527344,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,303.3333435058594,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,296.9866638183594,Tiefstkurs
Wie hoch war das Handelsvolumen?,68642400.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,341.6199951171875,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,348.3399963378906,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,314.73333740234375,Tiefstkurs
Wie hoch war das Handelsvolumen?,188556300.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,339.4766540527344,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,364.9800109863281,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,333.8133239746094,Tiefstkurs
Wie hoch war das Handelsvolumen?,187245000.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,345.9533386230469,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,356.9599914550781,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,343.59332275390625,Tiefstkurs
Wie hoch war das Handelsvolumen?,115579500.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,359.0133361816406,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,360.3333435058594,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,351.3999938964844,Tiefstkurs
Wie hoch war das Handelsvolumen?,81639600.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,371.3333435058594,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,371.7366638183594,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,357.7366638183594,Tiefstkurs
Wie hoch war das Handelsvolumen?,89755200.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,402.86334228515625,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,403.25,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,372.88665771484375,Tiefstkurs
Wie hoch war das Handelsvolumen?,168146100.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,390.6666564941406,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,402.86334228515625,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,382.0,Tiefstkurs
Wie hoch war das Handelsvolumen?,128213400.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,404.6199951171875,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,405.1300048828125,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,384.2066650390625,Tiefstkurs
Wie hoch war das Handelsvolumen?,103885500.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,409.9700012207031,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,414.4966735839844,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,405.6666564941406,Tiefstkurs
Wie hoch war das Handelsvolumen?,76192200.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,407.36334228515625,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,413.2900085449219,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,402.6666564941406,Tiefstkurs
Wie hoch war das Handelsvolumen?,64886400.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,387.64666748046875,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,399.0,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,377.6666564941406,Tiefstkurs
Wie hoch war das Handelsvolumen?,100337100.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,341.1666564941406,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,391.5,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,337.17333984375,Tiefstkurs
Wie hoch war das Handelsvolumen?,177317400.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,355.98333740234375,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,359.3666687011719,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,329.10333251953125,Tiefstkurs
Wie hoch war das Handelsvolumen?,128408100.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,354.5033264160156,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,368.3233337402344,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,351.55999755859375,Tiefstkurs
Wie hoch war das Handelsvolumen?,67189800.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,344.47332763671875,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,351.5,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,339.73333740234375,Tiefstkurs
Wie hoch war das Handelsvolumen?,76719300.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,337.7966613769531,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,343.99334716796875,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,326.20001220703125,Tiefstkurs
Wie hoch war das Handelsvolumen?,104326800.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,351.57666015625,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,352.3999938964844,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,334.05999755859375,Tiefstkurs
Wie hoch war das Handelsvolumen?,79627200.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,363.0033264160156,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,373.21331787109375,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,351.8333435058594,Tiefstkurs
Wie hoch war das Handelsvolumen?,94336200.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,365.4599914550781,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,370.6666564941406,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,358.3399963378906,Tiefstkurs
Wie hoch war das Handelsvolumen?,62696700.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,379.0199890136719,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,379.5733337402344,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,364.23333740234375,Tiefstkurs
Wie hoch war das Handelsvolumen?,64926900.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,385.6233215332031,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,400.6499938964844,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,377.4766540527344,Tiefstkurs
Wie hoch war das Handelsvolumen?,99217500.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,369.6766662597656,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,393.5,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,354.23333740234375,Tiefstkurs
Wie hoch war das Handelsvolumen?,108515100.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,372.0,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,377.5899963378906,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,354.0,Tiefstkurs
Wie hoch war das Handelsvolumen?,67680600.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,360.6400146484375,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,369.59332275390625,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,360.3333435058594,Tiefstkurs
Wie hoch war das Handelsvolumen?,35042700.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,378.9966735839844,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,380.8900146484375,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,366.7300109863281,Tiefstkurs
Wie hoch war das Handelsvolumen?,58393500.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,381.586669921875,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,389.3333435058594,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,372.6666564941406,Tiefstkurs
Wie hoch war das Handelsvolumen?,81276000.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,365.0,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,390.9466552734375,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,363.586669921875,Tiefstkurs
Wie hoch war das Handelsvolumen?,68450400.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,361.5333251953125,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,371.0,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,352.2166748046875,Tiefstkurs
Wie hoch war das Handelsvolumen?,73114800.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,338.3233337402344,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,363.52667236328125,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,333.4033203125,Tiefstkurs
Wie hoch war das Handelsvolumen?,92322000.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,336.336669921875,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,340.5466613769531,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,316.8333435058594,Tiefstkurs
Wie hoch war das Handelsvolumen?,81663000.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,350.5833435058594,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,352.5566711425781,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,342.2699890136719,Tiefstkurs
Wie hoch war das Handelsvolumen?,56084700.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,356.32000732421875,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,357.4599914550781,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,344.3333435058594,Tiefstkurs
Wie hoch war das Handelsvolumen?,41906400.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,334.6000061035156,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,354.163330078125,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,334.1199951171875,Tiefstkurs
Wie hoch war das Handelsvolumen?,59438400.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,339.010009765625,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,340.32666015625,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,327.510009765625,Tiefstkurs
Wie hoch war das Handelsvolumen?,59664300.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,322.13665771484375,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,335.0,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,317.1400146484375,Tiefstkurs
Wie hoch war das Handelsvolumen?,78595500.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,319.5033264160156,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,322.13665771484375,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,310.0,Tiefstkurs
Wie hoch war das Handelsvolumen?,70806300.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,325.3299865722656,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,326.25,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,309.4166564941406,Tiefstkurs
Wie hoch war das Handelsvolumen?,75169200.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,308.97332763671875,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,331.6600036621094,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,307.2833251953125,Tiefstkurs
Wie hoch war das Handelsvolumen?,82771500.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,310.8566589355469,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,320.2200012207031,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,303.0133361816406,Tiefstkurs
Wie hoch war das Handelsvolumen?,100437300.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,299.9800109863281,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,307.2300109863281,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,297.7966613769531,Tiefstkurs
Wie hoch war das Handelsvolumen?,56480100.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,312.84332275390625,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,313.1666564941406,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,295.3733215332031,Tiefstkurs
Wie hoch war das Handelsvolumen?,71517900.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,336.2900085449219,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,338.5533447265625,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,319.01666259765625,Tiefstkurs
Wie hoch war das Handelsvolumen?,93634200.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,355.6666564941406,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,357.6600036621094,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,332.5199890136719,Tiefstkurs
Wie hoch war das Handelsvolumen?,92713200.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,364.64666748046875,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,372.3333435058594,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,356.90667724609375,Tiefstkurs
Wie hoch war das Handelsvolumen?,71145900.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,362.8233337402344,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,373.0,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,359.47332763671875,Tiefstkurs
Wie hoch war das Handelsvolumen?,60324000.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,362.0633239746094,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,368.0,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,354.71331787109375,Tiefstkurs
Wie hoch war das Handelsvolumen?,56154000.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,356.7799987792969,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,365.1833190917969,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,351.04998779296875,Tiefstkurs
Wie hoch war das Handelsvolumen?,47040900.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,352.260009765625,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,360.6666564941406,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,351.5299987792969,Tiefstkurs
Wie hoch war das Handelsvolumen?,40733700.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,399.9266662597656,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,400.3566589355469,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,378.67999267578125,Tiefstkurs
Wie hoch war das Handelsvolumen?,103931400.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,383.1966552734375,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,402.6666564941406,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,374.3500061035156,Tiefstkurs
Wie hoch war das Handelsvolumen?,100248300.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,362.7066650390625,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,390.11334228515625,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,360.336669921875,Tiefstkurs
Wie hoch war das Handelsvolumen?,80119800.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,354.8999938964844,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,362.6666564941406,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,340.1666564941406,Tiefstkurs
Wie hoch war das Handelsvolumen?,90336600.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,342.32000732421875,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,360.30999755859375,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,336.6666564941406,Tiefstkurs
Wie hoch war das Handelsvolumen?,84164700.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,352.7066650390625,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,353.0333251953125,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,326.6666564941406,Tiefstkurs
Wie hoch war das Handelsvolumen?,91815000.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,354.79998779296875,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,358.6166687011719,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,346.2733459472656,Tiefstkurs
Wie hoch war das Handelsvolumen?,66063300.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,368.739990234375,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,371.61334228515625,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,357.5299987792969,Tiefstkurs
Wie hoch war das Handelsvolumen?,83739000.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,343.85333251953125,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,371.8666687011719,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,342.17999267578125,Tiefstkurs
Wie hoch war das Handelsvolumen?,97209900.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,349.8699951171875,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,350.6666564941406,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,337.7933349609375,Tiefstkurs
Wie hoch war das Handelsvolumen?,72924300.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,343.5033264160156,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,356.92999267578125,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,338.6866760253906,Tiefstkurs
Wie hoch war das Handelsvolumen?,66743400.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,331.8833312988281,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,351.5566711425781,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,331.6666564941406,Tiefstkurs
Wie hoch war das Handelsvolumen?,75442500.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,332.0899963378906,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,347.2200012207031,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,331.3333435058594,Tiefstkurs
Wie hoch war das Handelsvolumen?,70488600.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,314.6333312988281,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,334.8500061035156,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,313.5,Tiefstkurs
Wie hoch war das Handelsvolumen?,103416000.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,310.0,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,311.1700134277344,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,283.8233337402344,Tiefstkurs
Wie hoch war das Handelsvolumen?,151565700.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,306.1333312988281,Schlusskurs
Wie hoch war der höchste Kurs des Tages?,317.086669921875,Höchstkurs
Wie tief fiel der Kurs an diesem Tag?,301.07000732421875,Tiefstkurs
Wie hoch war das Handelsvolumen?,86595900.0,Handelsvolumen
Wie war der Schlusskurs des Tages?,312.4700012207031,Schlusskurs
